,Hypertension,Diabetes,Heartproblems,Stroke,Dementia,Pregnancy,Stunting,Menopouse
2010,54.2,4.9,14.8,1.0,0.1,0.0,0.0,1.0
2011,54.20961038961039,4.9012987012987015,14.79974025974026,1.0005194805194806,0.1023376623376623,0.0,0.0,1.0623376623376624
2012,54.24805194805195,4.906493506493507,14.7987012987013,1.0025974025974025,0.1116883116883116,0.0,0.0,1.3116883116883118
2013,54.334545454545456,4.918181818181819,14.796363636363637,1.007272727272727,0.1327272727272727,0.0,0.0,1.8727272727272728
2014,54.48831168831169,4.93896103896104,14.792207792207792,1.0155844155844156,0.1701298701298701,0.0,0.0,2.87012987012987
2015,54.72857142857143,4.971428571428572,14.785714285714286,1.0285714285714285,0.2285714285714286,0.0,0.0,4.428571428571428
2016,55.07454545454546,5.0181818181818185,14.776363636363635,1.0472727272727274,0.3127272727272727,0.0,0.0,6.672727272727272
2017,55.54545454545455,5.081818181818182,14.763636363636364,1.0727272727272728,0.4272727272727273,0.0,0.0,9.727272727272728
2018,56.16051948051948,5.164935064935065,14.747012987012988,1.1059740259740258,0.5768831168831169,0.0,0.0,13.716883116883116
2019,56.93896103896104,5.27012987012987,14.725974025974024,1.148051948051948,0.7662337662337663,0.0,0.0,18.766233766233764
2020,57.9,5.4,14.7,1.2,1.0,0.0,0.0,25.0
2021,58.86103896103896,5.5298701298701305,14.674025974025971,1.251948051948052,4.0,0.0,0.0,28.500000000000004
2022,59.82207792207792,5.65974025974026,14.648051948051949,1.303896103896104,6.999999999999999,0.0,0.0,32.0
2023,60.78311688311688,5.78961038961039,14.62207792207792,1.3558441558441556,10.0,0.0,0.0,35.5
2024,61.74415584415584,5.91948051948052,14.596103896103894,1.4077922077922076,13.0,0.0,0.0,39.0
2025,62.7051948051948,6.04935064935065,14.570129870129868,1.4597402597402596,16.0,0.0,0.0,42.50000000000001
2026,63.66623376623376,6.179220779220779,14.544155844155842,1.5116883116883115,19.0,0.0,0.0,46.0
2027,64.62727272727271,6.3090909090909095,14.518181818181814,1.5636363636363635,22.0,0.0,0.0,49.5
2028,65.58831168831168,6.43896103896104,14.492207792207788,1.6155844155844157,25.0,0.0,0.0,53.0
2029,66.54935064935063,6.568831168831169,14.466233766233762,1.6675324675324674,28.000000000000004,0.0,0.0,56.50000000000001
2030,67.5103896103896,6.698701298701299,14.440259740259735,1.7194805194805194,31.0,0.0,0.0,60.00000000000001
