,Dementia,Pregnancy,Stunting,Menopouse
2010,0.1,0.0,0.0,1.0
2011,0.10233766233766234,0.0,0.0,1.0623376623376624
2012,0.11168831168831168,0.0,0.0,1.3116883116883118
2013,0.13272727272727272,0.0,0.0,1.8727272727272728
2014,0.17012987012987013,0.0,0.0,2.87012987012987
2015,0.2285714285714286,0.0,0.0,4.428571428571428
2016,0.31272727272727274,0.0,0.0,6.672727272727272
2017,0.42727272727272736,0.0,0.0,9.727272727272727
2018,0.5768831168831169,0.0,0.0,13.716883116883116
2019,0.7662337662337663,0.0,0.0,18.766233766233764
2020,1.0,0.0,0.0,25.0
2021,4.0,0.0,0.0,28.500000000000004
2022,6.999999999999999,0.0,0.0,32.0
2023,10.0,0.0,0.0,35.5
2024,13.0,0.0,0.0,39.0
2025,16.0,0.0,0.0,42.50000000000001
2026,19.0,0.0,0.0,46.0
2027,22.0,0.0,0.0,49.5
2028,25.0,0.0,0.0,53.0
2029,28.000000000000004,0.0,0.0,56.50000000000001
2030,31.0,0.0,0.0,60.00000000000001
